embedding_index,pid,image_path
273,BRAED7QUJVM6HEEZ,../data/images/BRAED7QUJVM6HEEZ.jpg
274,PANEJQ5AMGFJKRAF,../data/images/PANEJQ5AMGFJKRAF.jpg
275,SWTEDFVGSHZBRB3Z,../data/images/SWTEDFVGSHZBRB3Z.jpg
276,SHTE6K74ZMWEPSHH,../data/images/SHTE6K74ZMWEPSHH.jpg
277,SHTE9UGFFKKTYJ7S,../data/images/SHTE9UGFFKKTYJ7S.jpg
278,CAPEDVTES4EQMG4H,../data/images/CAPEDVTES4EQMG4H.jpg
279,JCKEJNH2AZGKWGZC,../data/images/JCKEJNH2AZGKWGZC.jpg
280,SHTEA48RXHZZ7YKB,../data/images/SHTEA48RXHZZ7YKB.jpg
281,BRAEBUHXKDBWRMCK,../data/images/BRAEBUHXKDBWRMCK.jpg
282,SWTEDAU6RPWWYMJP,../data/images/SWTEDAU6RPWWYMJP.jpg
283,TOPEEEPV4GFFSHJG,../data/images/TOPEEEPV4GFFSHJG.jpg
284,JCKE24NP9VDMR8KD,../data/images/JCKE24NP9VDMR8KD.jpg
285,BRAEYMFDHAQBDMZH,../data/images/BRAEYMFDHAQBDMZH.jpg
286,ACBEHFPVV7PYCVHR,../data/images/ACBEHFPVV7PYCVHR.jpg
287,TOPEGH2EMFNHGMFK,../data/images/TOPEGH2EMFNHGMFK.jpg
288,SWSEYFY2E6P8HYSP,../data/images/SWSEYFY2E6P8HYSP.jpg
289,TSHEF3Z2JHQHK2GZ,../data/images/TSHEF3Z2JHQHK2GZ.jpg
290,TSHE4S26ZSFE9JTB,../data/images/TSHE4S26ZSFE9JTB.jpg
291,SHTEAZU6Z6Q7UTSP,../data/images/SHTEAZU6Z6Q7UTSP.jpg
292,TSHE993R7A3ZBB6E,../data/images/TSHE993R7A3ZBB6E.jpg
293,SHTEY2Z4ZZYHB7GZ,../data/images/SHTEY2Z4ZZYHB7GZ.jpg
294,ACBECSFFNEUFZSYE,../data/images/ACBECSFFNEUFZSYE.jpg
295,SHTE3HGETNXH7HDB,../data/images/SHTE3HGETNXH7HDB.jpg
296,TSHE6SJFFQUMVYBH,../data/images/TSHE6SJFFQUMVYBH.jpg
297,CSPE6XYVRSBX64PN,../data/images/CSPE6XYVRSBX64PN.jpg
298,TSHEHU5RQ4TEYXXS,../data/images/TSHEHU5RQ4TEYXXS.jpg
299,TUNE7ZAUNQHFTXEE,../data/images/TUNE7ZAUNQHFTXEE.jpg
300,BRAEDW63EGE5VDXG,../data/images/BRAEDW63EGE5VDXG.jpg
301,TROEGVK5XMECKZWR,../data/images/TROEGVK5XMECKZWR.jpg
302,TOPEDFFJMUYZFYW3,../data/images/TOPEDFFJMUYZFYW3.jpg
303,SHTEG88ZZRQ5GEZD,../data/images/SHTEG88ZZRQ5GEZD.jpg
304,TSHE75PWXGWGHTYH,../data/images/TSHE75PWXGWGHTYH.jpg
305,TOPEHZMKZ67ZYXYX,../data/images/TOPEHZMKZ67ZYXYX.jpg
306,TSHE9CK2YKT7ZRQT,../data/images/TSHE9CK2YKT7ZRQT.jpg
307,BZREHJ6Z8WJQHFPX,../data/images/BZREHJ6Z8WJQHFPX.jpg
308,TOPEHAG3MXHB55EU,../data/images/TOPEHAG3MXHB55EU.jpg
309,ACBEHFPXNE8ZUSKK,../data/images/ACBEHFPXNE8ZUSKK.jpg
310,TSHE3GHHVKJAY8DY,../data/images/TSHE3GHHVKJAY8DY.jpg
